"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","284.13912685963794","79.5724645066992","4.721908316964448","-0.31197865973435573","0.025700000000000056","0.0252","0.0262","1300","0.00018753295430004534","0","0.00018753295430004534","0.00018753295430004534","","","true"
"1","217.00013864773013","82.06977173730753","4.81513590032656","-0.3097440319777085","0.05679999999999996","0.0486","0.06499999999999995","1300","0.0018624140155532854","0","0.0018624140155532854","0.0018624140155532854","1_0:0.005378044720889041","1_0:660","true"
"2","307.64918214886814","232.21434456513026","4.609655107492074","-0.3090875180776862","0.007900000000000018","0.00880000000000003","0.007","1300","0.000222233105064266","0","0.000222233105064266","0.000222233105064266","2_1:0.006034217556458249","2_1:660","true"
"3","89.55398723026866","121.90071353989826","4.875545985705616","-0.30968652168552707","0.027900000000000036","0.017199999999999993","0.0386","1300","0.00018446676885341647","0","0.00018446676885341647","0.00018446676885341647","3_2:0.009257719425747324","3_2:660","true"
"4","148.50906595298738","136.95526216681242","4.818175808974537","-0.3103713081153928","0.04200000000000004","0.048799999999999955","0.0352","1300","0.0002148938254509478","0","0.0002148938254509478","0.0002148938254509478","4_15:0.004723996764954302;4_3:0.006364269899317793;4_5:0.0061474571853245286","4_15:660;4_3:660;4_5:660","true"
"5","222.09124570784732","201.58255144507953","4.7341447892979165","-0.3114518235315779","0.010000000000000009","0.008399999999999963","0.0116","1300","0.00015876341717523739","0","0.00015876341717523739","0.00015876341717523739","","","true"
"6","181.0063490338083","64.46440362700508","4.876275766278119","-0.30918835047116894","0.03649999999999998","0.04600000000000004","0.027","1300","0.00039807338893766184","0","0.00039807338893766184","0.00039807338893766184","6_5:0.018299289906720972;6_7:0.010686064421878028","6_5:660;6_7:660","true"
"7","360.9148272116301","72.34258003224073","4.967524822898377","-0.30745739300983294","0.011700000000000044","0.013000000000000012","0.0104","1300","0.00026402046534525545","0","0.00026402046534525545","0.00026402046534525545","7_8:0.006626749837119056","7_8:660","true"
"8","264.15645708846114","58.889097109885284","4.902345248208107","-0.30837827664687645","0.011900000000000022","0.0114","0.012399999999999967","1300","0.0002579024828840433","0","0.0002579024828840433","0.0002579024828840433","8_9:0.011121656448419615","8_9:660","true"
"9","238.53364451234356","120.08268104570314","4.987235069122292","-0.3080310587566364","0.006599999999999939","0.009399999999999964","0.0038","1300","0.0003507560994980077","0","0.0003507560994980077","0.0003507560994980077","","","true"
"10","277.5209198005227","215.28696873685485","4.831534448410197","-0.3097434424405673","0.025399999999999978","0.037799999999999945","0.013","1300","0.001108545248655396","0","0.001108545248655396","0.001108545248655396","10_9:0.01357753631365255;10_11:0.010746654693827129","10_9:660;10_11:660","true"
