"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","218.6055002171586","64.14538308484153","4.721908316964448","-0.31197865973435573","0.03369999999999995","0.013","0.0544","1300","0.00015409697149825288","0","0.00015409697149825288","0.00015409697149825288","","","true"
"1","332.32258112783285","285.44447774743963","4.81513590032656","-0.3097440319777085","0.05910000000000004","0.0488","0.0694","1300","0.00024068781026188155","0","0.00024068781026188155","0.00024068781026188155","1_0:0.003921100739993577","1_0:660","true"
"2","252.68491586515876","305.50232236692614","4.609655107492074","-0.3090875180776862","0.010600000000000054","0.0152","0.006","1300","0.00013817659106855643","0","0.00013817659106855643","0.00013817659106855643","2_1:0.01075101518114191","2_1:660","true"
"3","183.4736036152409","256.7561166314801","4.875545985705616","-0.30968652168552707","0.024900000000000033","0.0164","0.0334","1300","0.00019042673256063284","0","0.00019042673256063284","0.00019042673256063284","3_2:0.007562052678779602","3_2:660","true"
"4","251.40050401430022","273.70159933428715","4.818175808974537","-0.3103713081153928","0.023399999999999976","0.0242","0.0226","1300","0.0004977922199110472","0","0.0004977922199110472","0.0004977922199110472","4_15:0.010141372703240892;4_3:0.010222696181472035;4_5:0.008344804617334362","4_15:660;4_3:660;4_5:660","true"
"5","88.87684739401223","138.47446679727744","4.7341447892979165","-0.3114518235315779","0.008399999999999963","0.0126","0.0042","1300","0.0002518293038533539","0","0.0002518293038533539","0.0002518293038533539","","","true"
"6","147.10822190789233","72.20915405629542","4.876275766278119","-0.30918835047116894","0.011600000000000055","0.0128","0.0104","1300","0.00030309021981127595","0","0.00030309021981127595","0.00030309021981127595","6_5:0.008227061852213557;6_7:0.010251479672863384","6_5:660;6_7:660","true"
"7","377.93911493136096","302.8218885227976","4.967524822898377","-0.30745739300983294","0.0252","0.0342","0.0162","1300","0.0005016428037188437","0","0.0005016428037188437","0.0005016428037188437","7_8:0.006589576759003152","7_8:660","true"
"8","210.88272906541414","139.07388260108453","4.902345248208107","-0.30837827664687645","0.011499999999999955","0.0124","0.0106","1300","0.00015506815142336003","0","0.00015506815142336003","0.00015506815142336003","8_9:0.006611437303737422","8_9:660","true"
"9","270.15642583079324","191.14090018769525","4.987235069122292","-0.3080310587566364","0.011099999999999999","0.0136","0.0086","1300","0.00015280841126184353","0","0.00015280841126184353","0.00015280841126184353","","","true"
"10","308.06297872764645","269.9392911359597","4.831534448410197","-0.3097434424405673","0.014100000000000001","0.0122","0.016","1300","0.00008718456923117435","0","0.00008718456923117435","0.00008718456923117435","10_9:0.005054190474099024;10_11:0.007272754104518525","10_9:660;10_11:660","true"
"11","197.58669067238225","221.8928189439996","4.972305689737398","-0.307214316560019","0.14039999999999997","0.1326","0.1482","1300","0.000273472343915434","0","0.000273472343915434","0.000273472343915434","11_12:0.006636685215394816","11_12:660","true"
"12","348.2391926468427","174.84548270632905","4.936319107472835","-0.3079608272575031","0.015700000000000047","0.0132","0.0182","1300","0.00027247211357755687","0","0.00027247211357755687","0.00027247211357755687","12_17:0.005762647102898699","12_17:660","true"
"13","337.0073850737534","110.20678166652776","5.005809502119509","-0.3067650398842775","0.009700000000000042","0.0072","0.0122","1300","0.00015648190659077184","0","0.00015648190659077184","0.00015648190659077184","13_12:0.006423821228539822","13_12:660","true"
"14","243.4989452688684","81.52492976723342","4.903344760967439","-0.308419961199297","0.016199999999999992","0.017","0.0154","1300","0.0002929588697274501","0","0.0002929588697274501","0.0002929588697274501","14_0:0.007071300736451819;14_18:0.00959195071281499","14_0:660;14_18:660","true"
"15","269.5173753549475","30.24513002057306","4.947914953560998","-0.308052427832017","0.008299999999999974","0.0092","0.0074","1300","0.0001782714194096018","0","0.0001782714194096018","0.0001782714194096018","15_22:0.005602442266106317","15_22:660","true"
"16","257.30949325378043","17.975866039409578","4.9603281019871295","-0.3076594514774509","0.017800000000000038","0.0252","0.0104","1300","0.000265272143012551","0","0.000265272143012551","0.000265272143012551","16_8:0.00504043816950922;16_26:0.012447002170797417","16_8:660;16_26:660","true"
"17","275.75886269273184","200.78066172440035","4.820823460371974","-0.30970435909943395","0.0131","0.0168","0.0094","1300","0.00019898919476154598","0","0.00019898919476154598","0.00019898919476154598","17_30:0.004677857814769676","17_30:660","true"
"18","186.81652745076767","100.53872997679025","4.788139278987067","-0.31063598977187784","0.10350000000000004","0.1088","0.0982","1300","0.0006153716333948756","0","0.0006153716333948756","0.0006153716333948756","18_19:0.007487619262579376","18_19:660","true"
"19","347.3955289477188","104.71879741067417","4.7469924322616","-0.31072395279331844","0.08660000000000001","0.1004","0.0728","1300","0.00019206471914678732","0","0.00019206471914678732","0.00019206471914678732","","","true"
"20","226.012491841411","318.43567496794003","4.862313786651259","-0.3090978906556921","0.015199999999999991","0.0136","0.0168","1300","0.0001408428752851704","0","0.0001408428752851704","0.0001408428752851704","20_33:0.00945523257064304;20_19:0.005966808419046399","20_33:660;20_19:660","true"
"21","316.913940762249","142.85003825128587","4.9664950331928335","-0.30694839478531033","0.007800000000000029","0.0092","0.0064","1300","0.0001778037014875078","0","0.0001778037014875078","0.0001778037014875078","21_20:0.00418495868743371;21_22:0.004425831394930996","21_20:660;21_22:660","true"
"22","272.68732743731994","174.63383980331398","5.038197876457438","-0.3065535436677073","0.0121","0.0162","0.008","1300","0.00017042318523640668","0","0.00017042318523640668","0.00017042318523640668","22_23:0.01309689182534346","22_23:660","true"
"23","202.91888616702474","155.3403794495514","4.844974504703859","-0.309395699354676","0.019199999999999995","0.0154","0.023","1300","0.0009913778937874157","0","0.0009913778937874157","0.0009913778937874157","","","true"
"24","235.7252339806331","129.78366239374222","5.100790397005483","-0.3054983979252499","0.1411","0.0374","0.2448","1300","0.00019151482208621962","0","0.00019151482208621962","0.00019151482208621962","24_23:0.012751328509723964;24_34:0.02367977878566313","24_23:660;24_34:660","true"
"25","234.41639547231904","227.2393050788987","4.945232228281061","-0.3084275156167526","0.011700000000000044","0.007","0.0164","1300","0.00020922565832847962","0","0.00020922565832847962","0.00020922565832847962","25_24:0.004430330528413823","25_24:660","true"
"26","263.1760098062738","179.34927915684463","4.854079644904046","-0.30976922795032275","0.009800000000000031","0.0074","0.0122","1300","0.00027116743691903345","0","0.00027116743691903345","0.00027116743691903345","26_25:0.010674399586948768","26_25:660","true"
"27","360.33602837443885","276.0817882268249","4.747574990089512","-0.31027519414312993","0.0605","0.0514","0.0696","1300","0.00011595793873820231","0","0.00011595793873820231","0.00011595793873820231","27_26:0.019975308676359993","27_26:660","true"
