"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","381.6997705557107","132.88535322295436","4.6356509305521705","-0.3132760394092362","0.007080078125","0.00732421875","0.0068359375","1216","0.00032791183634679386","0","0.00032791183634679386","0.00032791183634679386","","","true"
"1","246.19765809814544","248.16258849025897","4.736282337072696","-0.3129180725120383","0.032958984375","0.0458984375","0.02001953125","1216","0.00032653603908855096","0","0.00032653603908855096","0.00032653603908855096","1_0:0.007831487036941032;1_2:0.009612896997807874","1_0:533.3333333333333;1_2:533.3333333333333","true"
"2","273.919391797547","237.65880178815837","4.819180308737065","-0.3112951524093254","0.0205078125","0.01220703125","0.02880859375","1216","0.0003002197202122759","0","0.0003002197202122759","0.0003002197202122759","","","true"
"3","406.24172641431613","327.86478119843696","4.747184714787087","-0.3111534699659636","0.00927734375","0.00830078125","0.01025390625","1216","0.00014033151010061005","0","0.00014033151010061005","0.00014033151010061005","3_2:0.007290853234240446","3_2:533.3333333333333","true"
"4","291.74788958364803","192.44484206910215","4.7878692846995206","-0.31094540176555985","0.015625","0.013671875","0.017578125","1216","0.0001801879540686471","0","0.0001801879540686471","0.0001801879540686471","4_15:0.009026911104195068;4_3:0.006460790158316687","4_15:533.3333333333333;4_3:533.3333333333333","true"
"5","172.75909991425792","78.91898308667757","4.850807061248852","-0.31056606217183785","0.06640625","0.06201171875","0.07080078125","1216","0.0008688729537230527","0","0.0008688729537230527","0.0008688729537230527","5_4:0.010613170938700067","5_4:533.3333333333333","true"
"6","237.40349651795418","44.44146850625187","4.899518578083506","-0.3090557835234433","0.266845703125","0.0078125","0.52587890625","1216","0.0008037324209928146","0","0.0008037324209928146","0.0008037324209928146","6_5:1","6_5:533.3333333333333","true"
"7","397.5108216315957","15.834929138196088","4.755932583288122","-0.31100390518358323","0.052734375","0.0302734375","0.0751953125","1216","0.00043093417797768506","0","0.00043093417797768506","0.00043093417797768506","7_6:1;7_8:0.015102784920354884","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","394.1651058571488","17.282471331162924","4.812549405934316","-0.31334511346081884","0.077392578125","0.0712890625","0.08349609375","1216","0.0005850872553505538","0","0.0005850872553505538","0.0005850872553505538","8_9:1","8_9:533.3333333333333","true"
"9","291.84655218305363","56.346802819290396","4.637560197109369","-0.29264088813258476","0.157470703125","0.00634765625","0.30859375","1216","0.00026195042725953553","0","0.00026195042725953553","0.00026195042725953553","","","true"
"10","260.34335168729336","216.0870020193539","4.804346118351211","-0.31122742580861","0.03173828125","0.04638671875","0.01708984375","1216","0.00018735214815258827","0","0.00018735214815258827","0.00018735214815258827","10_9:0.09893487039713861;10_11:0.004650374485512754","10_9:533.3333333333333;10_11:533.3333333333333","true"
"11","372.75452265995807","88.70352378246125","4.743320049375596","-0.31179417408967897","0.010498046875","0.0078125","0.01318359375","1216","0.00018367860820617162","0","0.00018367860820617162","0.00018367860820617162","11_12:0.004567754474415209","11_12:533.3333333333333","true"
"12","418.98429111900424","244.09903280201812","4.625978410235057","-0.31372359565205904","0.067626953125","0.01953125","0.11572265625","1216","0.00021073722455903086","0","0.00021073722455903086","0.00021073722455903086","12_13:0.007890752466066075","12_13:533.3333333333333","true"
"13","463.6055467163752","299.9174290100251","4.5569598976992705","-0.31377871528415735","0.09716796875","0.00830078125","0.18603515625","1216","0.001954892031012998","0","0.001954892031012998","0.001954892031012998","","","true"
"14","262.62408162006733","51.51510271381428","4.510065860168957","-0.3157712274724498","0.028076171875","0.03125","0.02490234375","1216","0.0006563048551089032","0","0.0006563048551089032","0.0006563048551089032","14_0:0.007970860279025105;14_18:0.010281896527929435","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","473.318692112023","397.9914572010983","4.599052839231592","-0.32044986829453664","0.094970703125","0.0654296875","0.12451171875","1216","0.0002886330948366863","0","0.0002886330948366863","0.0002886330948366863","","","true"
"16","283.4225771031612","15.498796578521109","4.93745285125503","-0.3088315131283205","0.07958984375","0.07177734375","0.08740234375","1216","0.0012029478791722517","0","0.0012029478791722517","0.0012029478791722517","16_8:1","16_8:533.3333333333333","true"
"17","354.78436485415546","18.737652324842994","4.752775280086857","-0.31153154230934604","0.0302734375","0.01904296875","0.04150390625","1216","0.00043398280493962425","0","0.00043398280493962425","0.00043398280493962425","17_12:0.011105687423560662;17_30:0.011768578209314096","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","452.3250939237751","19.810940818256384","4.659297103257657","-0.2892599847835004","0.0712890625","0.033203125","0.109375","1216","0.0010934069421645741","0","0.0010934069421645741","0.0010934069421645741","18_19:0.01884870650922238","18_19:533.3333333333333","true"
"19","404.7222987753562","80.06359617045109","4.820731041062459","-0.31198328628677313","0.046630859375","0.03955078125","0.0537109375","1216","0.00015662516116878188","0","0.00015662516116878188","0.00015662516116878188","19_20:0.004638611240923907","19_20:533.3333333333333","true"
"20","288.4059550801899","77.11169760802969","4.738276935989226","-0.3119696404967832","0.041259765625","0.03955078125","0.04296875","1216","0.00018362225757775867","0","0.00018362225757775867","0.00018362225757775867","20_33:0.00783349667725003","20_33:533.3333333333333","true"
"21","220.27300629980908","24.209469360511427","4.773894082666891","-0.3114254225761893","0.0244140625","0.0224609375","0.0263671875","1216","0.0002770584121556723","0","0.0002770584121556723","0.0002770584121556723","21_20:0.012361898467002974;21_22:0.010042999485783799","21_20:533.3333333333333;21_22:803.5555555555555","true"
"22","154.69120963486654","177.8539852645658","4.668475144404815","-0.31331663183442576","0.028076171875","0.017578125","0.03857421875","1216","0.00019236703603308028","0","0.00019236703603308028","0.00019236703603308028","22_15:0.008048809111599053","22_15:590.2222222222222","true"
"23","154.62939023566796","15.896945784181199","4.758058752309293","-0.31173856129806604","0.035888671875","0.0283203125","0.04345703125","1216","0.0004791860126836839","0","0.0004791860126836839","0.0004791860126836839","23_22:0.011385619916689849;23_24:0.019376145187948113","23_22:533.3333333333333;23_24:533.3333333333333","true"
"24","288.29424378555774","14.23524779683547","4.611438074746977","-0.31354982608399573","0.04833984375","0.04638671875","0.05029296875","1216","0.00045860326448913564","0","0.00045860326448913564","0.00045860326448913564","","","true"
"25","260.9910870595484","336.25155348194664","4.731627672963416","-0.3122550841543125","0.0302734375","0.013671875","0.046875","1216","0.0002994963770117848","0","0.0002994963770117848","0.0002994963770117848","25_24:0.009744326366394995","25_24:533.3333333333333","true"
"26","335.0375834267078","92.3952626566395","4.777309039210826","-0.31228117808626144","0.003662109375","0.00732421875","0","1216","0.00016696498516463707","0","0.00016696498516463707","0.00016696498516463707","26_16:0.02272122494974599;26_25:0.005967056721938868;26_27:0.006039572309867514","26_16:533.3333333333333;26_25:533.3333333333333;26_27:533.3333333333333","true"
"27","238.35454685980395","111.63954900187476","4.6803563176570915","-0.31282791406798793","0.007568359375","0.00390625","0.01123046875","1216","0.00023722066313593091","0","0.00023722066313593091","0.00023722066313593091","","","true"
"28","222.17743196100196","63.73591943262922","4.74309667370412","-0.27186381179166696","0.081787109375","0.08984375","0.07373046875","1216","0.0003162289610374734","0","0.0003162289610374734","0.0003162289610374734","28_27:0.007693744269840319","28_27:533.3333333333333","true"
"29","350.741672832346","151.65130402457055","4.79174211672775","-0.32426284330226407","0.007568359375","0.00634765625","0.0087890625","1216","0.00021132714686607811","0","0.00021132714686607811","0.00021132714686607811","29_28:0.008880940027408968;29_30:0.004826227116349668","29_28:533.3333333333333;29_30:533.3333333333333","true"
"30","334.94765740512014","272.63063552005235","4.692926153322706","-0.3126801438234927","0.034912109375","0.06591796875","0.00390625","1216","0.0001473303211793327","0","0.0001473303211793327","0.0001473303211793327","","","true"
"31","249.16572396156477","41.29488269672649","5.0575228466556705","-0.3070059221402992","0.0126953125","0.01123046875","0.01416015625","1216","0.00016615791085337542","0","0.00016615791085337542","0.00016615791085337542","31_30:0.009304797225661576;31_32:0.005162343302581196","31_30:533.3333333333333;31_32:533.3333333333333","true"
"32","284.86732565701305","236.74405573523694","4.929981477910799","-0.30828223495463736","0.032958984375","0.04248046875","0.0234375","1216","0.0002174798775011324","0","0.0002174798775011324","0.0002174798775011324","32_36:0.006484810298933219","32_36:533.3333333333333","true"
"33","349.6838286631797","362.619899055766","4.677509494297645","-0.3137282279838826","0.006591796875","0.00634765625","0.0068359375","1216","0.00016175338785013625","0","0.00016175338785013625","0.00016175338785013625","33_39:0.004660569487848654","33_39:533.3333333333333","true"
"34","138.246876538237","51.43932317530155","4.710355813569035","-0.28769666514137593","0.104248046875","0.0771484375","0.13134765625","1216","0.0008517085936717451","0","0.0008517085936717451","0.0008517085936717451","34_24:0.010684785275618669","34_24:533.3333333333333","true"
"35","205.78085935830723","49.89171906720793","4.914532992354487","-0.30919638014483275","0.011962890625","0.015625","0.00830078125","1216","0.00026675328808892457","0","0.00026675328808892457","0.00026675328808892457","35_28:0.008504824781690734;35_47:0.007130367281837802","35_28:533.3333333333333;35_47:533.3333333333333","true"
"36","211.548813618713","90.81758216941243","4.854002490916584","-0.31028310857915326","0.01025390625","0.01318359375","0.00732421875","1216","0.00016756349484953678","0","0.00016756349484953678","0.00016756349484953678","36_51:0.003934513246480809","36_51:533.3333333333333","true"
"37","340.6585237678857","34.379040828998114","4.593856279914622","-0.315389846608389","0.05029296875","0.01806640625","0.08251953125","1216","0.0007799204294466392","0","0.0007799204294466392","0.0007799204294466392","37_38:0.015481398099623234","37_38:533.3333333333333","true"
"38","483.2930068570622","113.32153650770188","4.485824887887196","-0.31593779214327095","0.0498046875","0.0361328125","0.0634765625","1216","0.0002459519662078987","0","0.0002459519662078987","0.0002459519662078987","38_39:0.005705798825155317","38_39:533.3333333333333","true"
