"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","153.37974336908067","57.004262916359465","4.721908316964448","-0.31197865973435573","0.025399999999999978","0.0282","0.022599999999999953","1300","0.00024995849707398256","0","0.00024995849707398256","0.00024995849707398256","","","true"
"1","324.4841298802869","281.358522900123","4.81513590032656","-0.3097440319777085","0.040000000000000036","0.033","0.04700000000000004","1300","0.00011517229357065197","0","0.00011517229357065197","0.00011517229357065197","1_0:0.004524954295830663","1_0:660","true"
"2","216.29415859101928","182.41344851379077","4.609655107492074","-0.3090875180776862","0.009100000000000108","0.008600000000000052","0.0096","1300","0.00023615854326839653","0","0.00023615854326839653","0.00023615854326839653","2_1:0.004549249971704666","2_1:660","true"
"3","266.1920344049795","258.30072363968446","4.875545985705616","-0.30968652168552707","0.033299999999999996","0.01639999999999997","0.0502","1300","0.00014605023181397188","0","0.00014605023181397188","0.00014605023181397188","3_2:0.006721103225998171","3_2:660","true"
"4","236.02190999856083","94.12993853649262","4.818175808974537","-0.3103713081153928","0.04859999999999998","0.04479999999999995","0.0524","1300","0.00023970013317709468","0","0.00023970013317709468","0.00023970013317709468","4_15:0.008098395285616344;4_3:0.007189549252976379;4_5:0.006847917320255331","4_15:660;4_3:660;4_5:660","true"
"5","239.54742571775353","180.87462456697648","4.7341447892979165","-0.3114518235315779","0.008599999999999941","0.007399999999999962","0.0098","1300","0.00018309838920113053","0","0.00018309838920113053","0.00018309838920113053","","","true"
"6","378.78611871600214","69.01786674570245","4.876275766278119","-0.30918835047116894","0.009600000000000053","0.0082","0.01100000000000001","1300","0.0001904866172445749","0","0.0001904866172445749","0.0001904866172445749","6_5:0.007390864787874346;6_7:0.013501974884562506","6_5:660;6_7:660","true"
"7","203.61207623312347","72.79250884078303","4.967524822898377","-0.30745739300983294","0.021600000000000064","0.015800000000000036","0.0274","1300","0.0016377833005062896","0","0.0016377833005062896","0.0016377833005062896","7_8:0.008056919350863917","7_8:660","true"
"8","272.0294522925198","68.40034793892028","4.902345248208107","-0.30837827664687645","0.011500000000000066","0.014","0.009000000000000008","1300","0.00029118222463047814","0","0.00029118222463047814","0.00029118222463047814","8_9:0.007963513893271712","8_9:660","true"
"9","266.7893942625871","133.59731007541666","4.987235069122292","-0.3080310587566364","0.008199999999999985","0.009800000000000031","0.0066","1300","0.0002344892782713004","0","0.0002344892782713004","0.0002344892782713004","","","true"
"10","345.3289523256247","328.3723050038535","4.831534448410197","-0.3097434424405673","0.017000000000000015","0.017","0.017000000000000015","1300","0.00014365474457472084","0","0.00014365474457472084","0.00014365474457472084","10_9:0.005157234533741312;10_11:0.006851843347282449","10_9:660;10_11:660","true"
"11","356.79235135415024","241.60526284030175","4.972305689737398","-0.307214316560019","0.15949999999999998","0.1696","0.14939999999999998","1300","0.000728270068916502","0","0.000728270068916502","0.000728270068916502","11_12:0.0063172469135735765","11_12:660","true"
"12","314.34214002976415","154.7921768207199","4.936319107472835","-0.3079608272575031","0.012499999999999956","0.012599999999999945","0.0124","1300","0.00019589904385736016","0","0.00019589904385736016","0.00019589904385736016","12_17:0.017058367583900336","12_17:660","true"
"13","233.38541462721236","72.53093290632269","5.005809502119509","-0.3067650398842775","0.013700000000000045","0.0112","0.016199999999999992","1300","0.0003091588306158804","0","0.0003091588306158804","0.0003091588306158804","13_12:0.005895352319966324","13_12:660","true"
"14","289.5772713335643","129.14939511598828","4.903344760967439","-0.308419961199297","0.017299999999999982","0.0184","0.016199999999999992","1300","0.00020223743446511077","0","0.00020223743446511077","0.00020223743446511077","14_0:0.006430855887805315;14_18:0.006009954633846071","14_0:660;14_18:660","true"
"15","303.827392502404","49.09527690904165","4.947914953560998","-0.308052427832017","0.016699999999999937","0.0204","0.013000000000000012","1300","0.00029345169433831256","0","0.00029345169433831256","0.00029345169433831256","15_22:0.022826676041469735","15_22:660","true"
"16","90.7552029342375","15.117575072070444","4.9603281019871295","-0.3076594514774509","0.01639999999999997","0.016199999999999992","0.0166","1300","0.0006505091459379362","0","0.0006505091459379362","0.0006505091459379362","16_8:0.010181210707015581;16_26:0.008956066499319182","16_8:660;16_26:660","true"
"17","373.6143427844705","218.25182345369115","4.820823460371974","-0.30970435909943395","0.01540000000000008","0.010600000000000054","0.0202","1300","0.0006811565370019156","0","0.0006811565370019156","0.0006811565370019156","17_30:0.01618989277542454","17_30:660","true"
"18","314.3460759059604","129.33374365346455","4.788139278987067","-0.31063598977187784","0.09909999999999997","0.09619999999999995","0.102","1300","0.00018323530973163093","0","0.00018323530973163093","0.00018323530973163093","18_19:0.004583252114072317","18_19:660","true"
"19","189.2999421137997","82.20617596450829","4.7469924322616","-0.31072395279331844","0.08840000000000003","0.09219999999999995","0.0846","1300","0.00013754030789204063","0","0.00013754030789204063","0.00013754030789204063","","","true"
"20","106.25980926107214","81.90385548832255","4.862313786651259","-0.3090978906556921","0.010599999999999943","0.0104","0.010800000000000032","1300","0.0003265073045432443","0","0.0003265073045432443","0.0003265073045432443","20_33:0.007710490830651451;20_19:0.011003445945193535","20_33:660;20_19:660","true"
"21","241.10775517909116","123.28255093228587","4.9664950331928335","-0.30694839478531033","0.009600000000000053","0.007800000000000029","0.0114","1300","0.00020383775513562792","0","0.00020383775513562792","0.00020383775513562792","21_20:0.009637216796706094;21_22:0.018240204041902963","21_20:660;21_22:660","true"
"22","221.71812648012263","182.50966273456547","5.038197876457438","-0.3065535436677073","0.01639999999999997","0.021199999999999997","0.0116","1300","0.0008119361356114821","0","0.0008119361356114821","0.0008119361356114821","22_23:0.014721496211281437","22_23:660","true"
"23","287.4650897214468","59.654189287040914","4.844974504703859","-0.309395699354676","0.01859999999999995","0.0186","0.01859999999999995","1300","0.00019793522486853283","0","0.00019793522486853283","0.00019793522486853283","","","true"
"24","270.5001971117956","95.76852712285373","5.100790397005483","-0.3054983979252499","0.15250000000000008","0.0676","0.23740000000000006","1300","0.00016160531840947614","0","0.00016160531840947614","0.00016160531840947614","24_23:0.005280014562524166;24_34:1","24_23:660;24_34:660","true"
"25","185.9583625976323","200.03818050002928","4.945232228281061","-0.3084275156167526","0.00869999999999993","0.008399999999999963","0.009","1300","0.0002145350241462605","0","0.0002145350241462605","0.0002145350241462605","25_24:0.00675787673903519","25_24:660","true"
"26","285.0371329730391","250.1984310019304","4.854079644904046","-0.30976922795032275","0.011700000000000044","0.0072","0.016199999999999992","1300","0.0001477910993049745","0","0.0001477910993049745","0.0001477910993049745","26_25:0.009486750392530247","26_25:660","true"
"27","320.6993384124808","175.94080846558336","4.747574990089512","-0.31027519414312993","0.061900000000000066","0.0654","0.05840000000000001","1300","0.00014470345873957488","0","0.00014470345873957488","0.00014470345873957488","27_26:0.005277867921202828","27_26:660","true"
"28","118.03017422615136","78.85636711602058","4.99440242324861","-0.3073714140177614","0.04380000000000006","0.0202","0.06740000000000002","1300","0.00027707894894388847","0","0.00027707894894388847","0.00027707894894388847","28_27:0.009537880247351277;28_29:0.00898732548514733;28_35:0.008813873117400672","28_27:660;28_29:660;28_35:660","true"
"29","191.61247729957222","260.134045540615","4.6286491295706345","-0.3122408870668324","0.02529999999999999","0.029","0.021599999999999953","1300","0.00017187248247278842","0","0.00017187248247278842","0.00017187248247278842","","","true"
"30","219.93397453695195","57.16894263985691","4.732965719362059","-0.31090012417705765","0.01090000000000002","0.01100000000000001","0.0108","1300","0.00033542916749833453","0","0.00033542916749833453","0.00033542916749833453","30_29:0.009915991827363246;30_31:0.011377377442309933","30_29:660;30_31:660","true"
"31","253.5817882435592","67.64750571909035","4.797666871392719","-0.31025628620305007","0.007299999999999973","0.010199999999999987","0.0044","1300","0.0003514585783036959","0","0.0003514585783036959","0.0003514585783036959","31_32:0.007969724134533979","31_32:660","true"
"32","223.8782870349765","260.9511091702606","4.910386069926192","-0.3078794303810588","0.009700000000000042","0.011199999999999988","0.0082","1300","0.00038219968663825494","0","0.00038219968663825494","0.00038219968663825494","32_36:0.005510463446412844","32_36:660","true"
"33","228.8899374788814","101.07790294586776","4.973179864912966","-0.3075486854907048","0.018199999999999994","0.012199999999999989","0.0242","1300","0.00019075831880303572","0","0.00019075831880303572","0.00019075831880303572","33_39:0.01817137841058797","33_39:660","true"
"34","298.20654148985335","57.692702453580196","4.678636054063652","-0.3124338462946453","0.0605","0.065","0.05600000000000005","1300","0.00015289870618191974","0","0.00015289870618191974","0.00015289870618191974","34_43:0.005518004762058548","34_43:660","true"
"35","251.44220365045766","162.6449005018368","4.907602427825297","-0.308301773576246","0.018000000000000016","0.0138","0.022199999999999998","1300","0.00028982759328105887","0","0.00028982759328105887","0.00028982759328105887","35_47:0.007131778047021753","35_47:660","true"
"36","249.5018878803007","282.3516572548787","4.8122759352200895","-0.31175120998201256","0.012399999999999967","0.0148","0.010000000000000009","1300","0.00028202456584152513","0","0.00028202456584152513","0.00028202456584152513","36_51:0.005012055953029559","36_51:660","true"
"37","218.5082888837813","105.4728493553562","4.837909740474339","-0.30886995110205334","0.02100000000000002","0.029","0.013000000000000012","1300","0.0004182784465676158","0","0.0004182784465676158","0.0004182784465676158","37_38:0.029215221353943804","37_38:660","true"
