"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","282.8701698242327","335.25288792308044","4.6556562317824985","-0.3110632460863657","0.0034000000000000696","0.005600000000000049","0.0012","1244.4444444444443","0.0007114547005700794","0","0.0007114547005700794","0.0007114547005700794","0_1:0.007416598560498422;0_14:0.015007302163359576","0_1:561.7777777777777;0_14:561.7777777777777","true"
"1","104.86658460387387","129.7923619928603","4.534963622198676","-0.31302980539784336","0.00550000000000006","0.008199999999999985","0.0028","1244.4444444444443","0.00022052835956479818","0","0.00022052835956479818","0.00022052835956479818","1_2:0.010019793800559285","1_2:561.7777777777777","true"
"2","245.9139992219722","128.04280646053016","4.680128246848173","-0.3092563684570482","0.0039000000000000146","0.0042","0.0036000000000000476","1244.4444444444443","0.00011780721333447281","0","0.00011780721333447281","0.00011780721333447281","2_3:0.004760244906617889","2_3:561.7777777777777","true"
"3","387.9936528429062","155.50866234085115","4.606652386438756","-0.25135835423971303","0.005299999999999971","0.0062","0.0043999999999999595","1244.4444444444443","0.00014782286949943213","0","0.00014782286949943213","0.00014782286949943213","","","true"
"4","198.29580725833213","120.89017380278298","4.462285883613534","-0.25507850560311957","0.06040000000000001","0.061799999999999966","0.059","1244.4444444444443","0.0005594038469822154","0","0.0005594038469822154","0.0005594038469822154","4_3:0.00766311339633155;4_15:0.01902526773889346","4_3:561.7777777777777;4_15:561.7777777777777","true"
"5","348.4835792286821","395.29287646119184","4.426690051262644","-0.2804432142711162","0.011099999999999999","0.0156","0.00660000000000005","1244.4444444444443","0.00016616289541735785","0","0.00016616289541735785","0.00016616289541735785","5_4:0.008998303570384503","5_4:561.7777777777777","true"
"6","362.11146607790175","186.56197016942298","4.64008797291233","-0.3108103399516748","0.0042999999999999705","0.0041999999999999815","0.0044","1244.4444444444443","0.00019095473593209406","0","0.00019095473593209406","0.00019095473593209406","6_5:0.006277039909692028","6_5:561.7777777777777","true"
"7","495.2377901328474","442.37802207201054","4.4756790479825215","-0.2813271220492828","0.0036000000000000476","0.0034","0.0038000000000000256","1244.4444444444443","0.00014000085910982732","0","0.00014000085910982732","0.00014000085910982732","7_8:0.02887394291875997;7_6:0.017764675616860515","7_8:561.7777777777777;7_6:561.7777777777777","true"
"8","17.516423036045186","24.14005806530727","4.40176454510596","-0.25507427876459826","0.052000000000000046","0.06220000000000003","0.0418","1244.4444444444443","0.002632108635158142","0","0.002632108635158142","0.002632108635158142","8_9:0.029819742105289232","8_9:561.7777777777777","true"
"9","495.30298562935116","431.67717904380686","4.519008269783023","-0.29730654926594685","0.009399999999999964","0.010399999999999965","0.0084","1244.4444444444443","0.00012196189901826402","0","0.00012196189901826402","0.00012196189901826402","","","true"
"10","96.93500387786474","52.54675012972153","4.628371319281684","0","0.006399999999999961","0.0068","0.006000000000000005","1244.4444444444443","0.00020626571798255502","0","0.00020626571798255502","0.00020626571798255502","10_11:0.009866202508900856;10_9:0.009450723966302671","10_11:561.7777777777777;10_9:561.7777777777777","true"
"11","396.55644337910144","249.91915964340075","4.571514341362394","-0.31187801080194943","0.014900000000000024","0.0168","0.013000000000000012","1244.4444444444443","0.00041547565631393365","0","0.00041547565631393365","0.00041547565631393365","11_12:0.010593254813346553","11_12:561.7777777777777","true"
"12","436.79442849401846","302.39379182696774","4.464319310397034","-0.3114335997689411","0.016799999999999926","0.0216","0.01200000000000001","1244.4444444444443","0.0001450037211315353","0","0.0001450037211315353","0.0001450037211315353","","","true"
"13","239.9889064536905","81.56871942938625","4.573361213466475","0","0.011900000000000022","0.010199999999999987","0.0136","1244.4444444444443","0.00017963333588881763","0","0.00017963333588881763","0.00017963333588881763","13_12:0.006442863909640328","13_12:561.7777777777777","true"
"14","237.37462098969556","37.29630249775937","4.603975958141579","-0.3075149117337717","0.007300000000000084","0.010000000000000009","0.0046","1244.4444444444443","0.0005941847540389062","0","0.0005941847540389062","0.0005941847540389062","14_18:0.011584554992457419","14_18:561.7777777777777","true"
"15","229.20744050013892","54.740985748438156","4.496024689431455","-0.3235838974181829","0.032200000000000006","0.038799999999999946","0.0256","1244.4444444444443","0.0011571236330796377","0","0.0011571236330796377","0.0011571236330796377","","","true"
"16","392.99872247377505","104.58782140218943","4.513223149613355","-0.31250997509736017","0.01200000000000001","0.016800000000000037","0.0072","1244.4444444444443","0.00022857735029983638","0","0.00022857735029983638","0.00022857735029983638","16_8:0.027400617174050346","16_8:561.7777777777777","true"
