"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","438.7706448666443","138.1006893414274","4.635662846425661","-0.3132760394092362","0.014799999999999924","0.009399999999999964","0.0202","1216","0.000530298391438711","0","0.000530298391438711","0.000530298391438711","","","true"
"1","327.9596926439759","311.30320563006114","4.736296869971339","-0.3129180725120383","0.01859999999999995","0.0236","0.013599999999999945","1216","0.0001949367950753646","0","0.0001949367950753646","0.0001949367950753646","1_2:0.007730119987126638;1_0:0.012830045520732164","1_2:533.3333333333333;1_0:533.3333333333333","true"
"2","210.48695692275683","96.27799427322095","4.819178499281037","-0.3112951524093254","0.012399999999999967","0.009399999999999964","0.0154","1216","0.0004557154690115008","0","0.0004557154690115008","0.0004557154690115008","","","true"
"3","371.1831092607605","283.23648187173336","4.747182082348841","-0.3111534699659636","0.010299999999999976","0.0102","0.010399999999999965","1216","0.00047179219576243893","0","0.00047179219576243893","0.00047179219576243893","3_2:0.007807489666639855","3_2:533.3333333333333","true"
"4","243.73404168252097","179.67988981654975","4.787874618691494","-0.31094540176555985","0.02300000000000002","0.020199999999999996","0.0258","1216","0.0002925976274794771","0","0.0002925976274794771","0.0002925976274794771","4_3:0.006303080475440315;4_15:0.005703082820394084","4_3:533.3333333333333;4_15:533.3333333333333","true"
"5","219.87763985826774","140.36196968352905","4.850837438806149","-0.31056606217183785","0.04849999999999999","0.010600000000000054","0.0864","1216","0.00031131510866474023","0","0.00031131510866474023","0.00031131510866474023","5_4:0.007482440470155949","5_4:533.3333333333333","true"
"6","322.494412032457","42.289019866340624","4.8995542684000535","-0.3090557835234433","0.06920000000000004","0.039000000000000035","0.0994","1216","0.000268700276681125","0","0.000268700276681125","0.000268700276681125","6_5:0.0058311315580002465","6_5:533.3333333333333","true"
"7","151.31836576123052","18.573932670435326","4.755796861500931","-0.31100390518358323","0.020000000000000018","0.020199999999999996","0.0198","1216","0.0007020318478571483","0","0.0007020318478571483","0.0007020318478571483","7_6:0.008242803594798925;7_8:0.021915819163515787","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","141.17857759065902","16.497817574830204","4.812595340291288","-0.31334511346081884","0.06969999999999998","0.06059999999999999","0.0788","1216","0.000922239691030361","0","0.000922239691030361","0.000922239691030361","8_9:0.022548050455900165","8_9:533.3333333333333","true"
"9","343.64716400818594","65.63042263690181","4.638198814237326","-0.29264088813258476","0.06109999999999993","0.05679999999999996","0.0654","1216","0.000364403464294055","0","0.000364403464294055","0.000364403464294055","","","true"
